release_date,title,speaker
1996-06-26,Supervision of bank sales practices,"Governor Edward W. Kelley, Jr."
1996-07-17,"""Prime bank"" schemes","Herbert A. Biern, Deputy Associate Director, Division of Banking Supervision and Regulation"
1996-07-18,The Federal Reserve's semiannual monetary report,Chairman Alan Greenspan
1996-07-24,Trends in consumer lending,Governor Janet L. Yellen
1996-07-26,Recent reports on Federal Reserve operations,Chairman Alan Greenspan
1996-09-12,Trends in consumer lending,Governor Lawrence B. Lindsey
1996-09-18,Implications of trading losses by Sumitomo Corp.,Governor Susan M. Phillips
1997-01-21,"January 21, 1997",Chairman Alan Greenspan
1997-01-30,The comsumer price index,Chairman Alan Greenspan
1997-02-13,Modernization of the financial system,Chairman Alan Greenspan
1997-02-26,The Federal Reserve's semiannual monetary policy report,Chairman Alan Greenspan
1997-03-04,Bias in the consumer price index,Chairman Alan Greenspan
1997-03-19,Supervision of banking organizations,Chairman Alan Greenspan
1997-03-20,Restrictions on securities underwriting and dealing,Governor Susan M. Phillips
1997-03-20,Performance of the U.S. economy,Chairman Alan Greenspan
1997-04-15,Reform of derivatives regulations under the Commodity Exchange Act,Governor Susan M. Phillips
1997-05-22,"H.R. 10, the Financial Services Competitiveness Act of 1997",Chairman Alan Greenspan
1997-07-15,Disclosure requirements for home mortgage loans,Governor Laurence H. Meyer
1997-07-17,The Financial Services Competition Act of 1997,Chairman Alan Greenspan
1997-07-22,The Federal Reserve's semiannual monetary policy report,Chairman Alan Greenspan
1997-07-23,Appropriate monetary policy and the strong economy,Vice Chair Alice M. Rivlin
1997-07-23,Conduct of monetary policy,Governor Laurence H. Meyer
1997-07-29,The Government Performance and Results Act,Vice Chair Alice M. Rivlin
1997-07-30,Y2K and Federal Reserve readiness,"Governor Edward W. Kelley, Jr."
1997-09-16,Role of the Federal Reserve in the payment system,Vice Chair Alice M. Rivlin
1997-09-24,"Debit cards and unsolicited ""loan checks""",Governor Laurence H. Meyer
1997-10-01,FASB proposals for derivatives and risk management,Governor Susan M. Phillips
1997-10-01,New-design $50 notes and quality assurance,"Theodore Allison, Assistant to the Board for Federal Reserve System Affairs"
1997-10-08,Economic and budgetary outlook,Chairman Alan Greenspan
1997-10-08,The Federal Reserve's supervisory processes,Governor Susan M. Phillips
1997-10-21,"H.R. 2637, the United States $1 Coin Act of 1997","Theodore Allison, Assistant to the Board for Federal Reserve System Affairs"
1997-10-29,Turbulence in world financial markets,Chairman Alan Greenspan
1997-11-04,Y2K readiness and the banking industry,"Governor Edward W. Kelley, Jr."
1997-11-13,The growing international financial system,Chairman Alan Greenspan
1997-11-20,Social security,Chairman Alan Greenspan
1998-01-29,The current fiscal situation,Chairman Alan Greenspan
1998-01-29,Circuit breakers for equity-related markets,Governor Susan M. Phillips
1998-01-30,The current Asia crisis and the dynamics of international finance,Chairman Alan Greenspan
1998-02-12,The current Asian crisis and the dynamics of international finance,Chairman Alan Greenspan
1998-02-24,The Federal Reserve's semiannual report on economic conditions and the conduct of monetary policy,Chairman Alan Greenspan
1998-03-03,The payment of interest on demand deposits and on required reserve balances,Governor Laurence H. Meyer
1998-03-03,The current Asian crisis,Chairman Alan Greenspan
1998-03-04,Coming budgetary challenges,Chairman Alan Greenspan
1998-03-10,"S. 1405, the Financial Regulatory Relief and Economic Efficiency Act of 1997",Governor Laurence H. Meyer
1998-04-20,The allocation of the economy's resources between Medicare and competing needs,Chairman Alan Greenspan
1998-04-28,The Federal Reserve's efforts to address the Year 2000 computer problem,"Governor Edward W. Kelley, Jr."
1998-04-29,Improving the consumer price index,Governor Edward M. Gramlich
1998-04-29,Mergers and acquisitions in banking and other financial services,Governor Laurence H. Meyer
1998-05-21,The current Asian crisis and the financial resources of the IMF,Chairman Alan Greenspan
1998-06-03,Mergers and acquisitions in banking and other financial services,Governor Laurence H. Meyer
1998-06-04,Implications of developments in electronic commerce,"Governor Roger W. Ferguson, Jr."
1998-06-10,Application of the Commodity Exchange Act to transactions in over-the-counter derivatives,Board of Governors of the Federal Reserve System
1998-06-10,An update on economic conditions in the United States,Chairman Alan Greenspan
1998-06-11,Anti-money-laundering efforts and related proposed legislation,"Herbert A. Biern, Associate Director, Division of Banking Supervision and Regulation"
1998-06-16,The effects of mergers,Chairman Alan Greenspan
1998-06-17,"H.R. 10, the Financial Services Act of 1998",Chairman Alan Greenspan
1998-07-16,Comment on a draft banking regulatory relief bill,Governor Laurence H. Meyer
1998-07-17,Reforms in the Truth in Lending Act and the Real Estate Settlement Procedures Act,Governor Edward M. Gramlich
1998-07-24,The regulation of OTC derivatives,Chairman Alan Greenspan
1998-07-24,The Federal Reserve's midyear report on monetary policy,Chairman Alan Greenspan
1998-07-30,The Commodity Exchange Act and OTC derivatives,Chairman Alan Greenspan
1998-09-09,Social security reform,Governor Edward M. Gramlich
1998-09-16,International economic and financial system,Chairman Alan Greenspan
1998-09-17,Year 2000 progress of the banking and financial services sector,"Governor Edward W. Kelley, Jr."
1998-09-23,The crisis in emerging market economies,Chairman Alan Greenspan
1998-10-01,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management","William J. McDonough, President, Federal Reserve Bank of New York"
1998-10-01,"Private-sector refinancing of the large hedge fund, Long-Term Capital Management",Chairman Alan Greenspan
1998-10-08,Overall impact of euro banknotes on the demand for U.S. currency,"Theodore E. Allison, Assistant to the Board for Federal Reserve System Affairs"
1998-12-16,Progress report by the President's Working Group on Financial Markets,"Patrick M. Parkinson, Associate Director, Division of Research and Statistics"
1999-01-20,State of the economy,Chairman Alan Greenspan
1999-01-28,Social security,Chairman Alan Greenspan
1999-02-09,The budget surplus and social security,Governor Edward M. Gramlich
1999-02-11,H.R. 10 and the need for financial reform,Chairman Alan Greenspan
1999-02-23,The budget surplus and social security,Governor Edward M. Gramlich
1999-02-23,Need for financial modernization,Chairman Alan Greenspan
1999-02-23,The Federal Reserve's semiannual report on monetary policy,Chairman Alan Greenspan
1999-02-25,Service credit under the federal employees retirement system,"Governor Edward W. Kelley, Jr."
1999-03-03,On investing the social security trust fund in equities,Chairman Alan Greenspan
1999-03-04,"Proposed ""Know Your Customer"" regulation","Richard A. Small, Assistant Director, Division of Banking Supervision and Regulation"
1999-03-18,The proposed Bankruptcy Reform Act of 1999,"Oliver Ireland, Associate General Counsel, Board of Governors of the Federal Reserve System"
1999-03-24,Hedge funds,Governor Laurence H. Meyer
1999-03-24,Hedge funds,"William J. McDonough, President, Federal Reserve Bank of New York"
1999-03-25,"On H.R. 3150, the Bankruptcy Reform Act of 1998",Governor Edward M. Gramlich
1999-04-13,Year 2000 progress,"Governor Edward W. Kelley, Jr."
1999-04-20,Veterans' benefit payments and Y2K,"Kenneth Buckley, Assistant Director, Division of Reserve Bank Operations and Payment Systems"
1999-04-20,Reporting requirements under the Bank Secrecy Act,"Richard A. Small, Assistant Director, Division of Banking Supervision and Regulation"
1999-04-28,H.R. 10 and financial modernization,Chairman Alan Greenspan
1999-05-06,"Hedge funds, leverage, and the lessons of Long-Term Capital Management","Patrick M. Parkinson, Associate Director, Division of Research and Statistics"
1999-05-12,Comments on H.R. 1585 and regulatory streamlining,Governor Laurence H. Meyer
1999-05-18,On modernization of the Commodity Exchange Act,"Patrick M. Parkinson, Associate Director, Division of Research and Statistics"
1999-05-20,Efforts to improve the architecture of the international financial system,Chairman Alan Greenspan
1999-06-14,High-tech industry in the U.S. economy,Chairman Alan Greenspan
1999-06-16,Loan-loss reserves,Governor Laurence H. Meyer
1999-06-17,Monetary policy and the economic outlook,Chairman Alan Greenspan
1999-07-21,Financial privacy issues,Governor Edward M. Gramlich
1999-07-22,The Federal Reserve's semiannual report on monetary policy,Chairman Alan Greenspan
1999-11-10,Vulnerability of private banking to money laundering activities,"Richard A. Small, Assistant Director, Division of Banking Supervision and Regulation"
2000-01-26,On nomination to fourth term as Chairman,Chairman Alan Greenspan
2000-02-08,1999 banking failures,Governor Laurence H. Meyer
